id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;imagem;pdf
id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;https://venda-imoveis.caixa.gov.br/fotos/Fid21.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/id.pdf
8444422955770;PB;JOAO PESSOA;GRAMAME;RUA FRANCISCO MEDEIROS E SILVA, N. 22, Apto 204, N 22;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 48.67 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422955770;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442295577021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422955770.pdf
8444422966976;PB;JOAO PESSOA;GRAMAME;RUA  JOSINALDO FLORENCIO DA SILVA, N. 179, Apto 306, 2�ANDAR BL A;88.404,91;151.000,00;41.46;Apartamento, 0.00 de �rea total, 42.82 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422966976;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442296697621.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422966976.pdf
8444423003918;PB;JOAO PESSOA;GRAMAME;RUA MANOEL FELISBERTO DA SILVA, N. 381, Apto 201, 1�ANDAR BL-A;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 48.39 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licita��o Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423003918;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442300391821.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444423003918.pdf
8444423568931;PB;JOAO PESSOA;GRAMAME;RUA MANOEL FELISBERTO DA SILVA, N. 381, Apto 108, TERREO, BL C;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 48.39 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423568931;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442356893121.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444423568931.pdf
8444423604440;PB;JOAO PESSOA;GRAMAME;RUA MANUEL ANISIO NASCIMENTO, N. 83, Apto 103, N 83;87.819,45;150.000,00;41.46;Apartamento, 0.00 de �rea total, 50.25 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423604440;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442360444021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444423604440.pdf
8444423669240;PB;JOAO PESSOA;GRAMAME;RUA PROFESSORA MARIA JOSE RODRIGUES PESSOA, N. 41, Apto 102, TERREO;82.550,28;141.000,00;41.46;Apartamento, 0.00 de �rea total, 42.68 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423669240;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442366924021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444423669240.pdf
8444424542057;PB;JOAO PESSOA;GRAMAME;AVENIDA JOSINALDO NASCIMENTO, N. 648, Apto 302, .;90.161,30;154.000,00;41.46;Apartamento, 0.00 de �rea total, 47.00 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424542057;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442454205721.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444424542057.pdf
8444424752841;PB;JOAO PESSOA;GRAMAME;RUA MANOEL FELISBERTO DA SILVA, N. 341, Apto 304, 02 AN BL C;86.648,52;148.000,00;41.46;Apartamento, 0.00 de �rea total, 48.72 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424752841;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442475284121.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444424752841.pdf
8444424783640;PB;JOAO PESSOA;GRAMAME;RUA MANOEL FELISBERTO DA SILVA, N. 341, Apto 106, BL C;85.477,60;146.000,00;41.46;Apartamento, 0.00 de �rea total, 48.16 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424783640;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442478364021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444424783640.pdf
8444424947456;PB;JOAO PESSOA;GRAMAME;RUA JORNALISTA MARCELO ANTONIO DO AMARAL DA ROCHA, N. 193, Apto 203, .;89.575,84;153.000,00;41.46;Apartamento, 0.00 de �rea total, 48.68 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424947456;Não;Não;https://venda-imoveis.caixa.gov.br/fotos/F844442494745621.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444424947456.pdf
